LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
150000.0,2,1,1,33,0,0,0,0,0,61101.0,3210.0,3911.0,3354.0,3400.0,3500.0,0
350000.0,1,1,2,33,0,0,0,0,0,8405.0,15052.0,3805.0,20467.0,3253.0,27168.0,0
150000.0,2,1,2,34,0,0,0,0,0,12003.0,5000.0,16864.0,18000.0,20025.0,51514.0,0
110000.0,2,2,1,27,1,2,0,0,0,4363.0,0.0,4012.0,3120.0,2800.0,3000.0,0
50000.0,1,2,1,32,0,0,0,0,0,27004.0,1613.0,1484.0,3675.0,698.0,1000.0,1
20000.0,2,1,2,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
300000.0,1,2,1,30,0,0,0,0,0,195.0,1542.0,1748.0,3890.0,608.0,4059.0,0
20000.0,1,3,1,27,0,0,0,0,0,2780.0,2000.0,1000.0,1000.0,1222.0,1800.0,0
100000.0,1,2,1,32,0,0,0,0,0,2454.0,2700.0,1712.0,1500.0,1600.0,1600.0,0
360000.0,2,1,2,29,0,0,0,0,0,4534.0,14697.0,0.0,2141.0,1272.0,24078.0,0
120000.0,2,2,2,23,0,0,0,0,0,1000.0,1200.0,200.0,632.0,8815.0,8400.0,1
180000.0,2,2,1,36,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
70000.0,2,1,2,27,0,2,0,0,0,6000.0,0.0,3000.0,2500.0,4100.0,4100.0,0
360000.0,1,4,1,34,0,0,0,0,0,10052.0,11767.0,20036.0,22207.0,54981.0,2227.0,0
50000.0,1,3,2,40,0,0,0,0,0,3000.0,2403.0,6700.0,1000.0,1000.0,2000.0,0
140000.0,1,1,1,34,0,0,0,0,0,5000.0,5000.0,11885.0,5000.0,3000.0,5504.0,0
50000.0,1,2,1,50,0,0,0,0,0,0.0,1477.0,2524.0,1320.0,4572.0,2206.0,1
90000.0,2,2,1,36,0,2,0,0,0,8600.0,0.0,4100.0,5000.0,5000.0,5000.0,0
500000.0,1,1,1,35,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
120000.0,1,1,2,28,0,0,0,0,0,6074.0,1774.0,1800.0,3484.0,2600.0,3000.0,0
260000.0,2,2,2,40,0,0,0,0,0,4224.0,3650.0,5000.0,3640.0,3500.0,3500.0,0
210000.0,2,1,2,34,0,0,0,0,0,2250.0,0.0,0.0,692.0,1560.0,1838.0,0
200000.0,1,1,1,44,0,0,0,0,0,1582.0,21133.0,2941.0,8191.0,22842.0,5567.0,0
240000.0,2,2,1,40,0,0,0,0,0,0.0,0.0,0.0,0.0,1306.0,0.0,1
327680.0,1,3,2,42,0,0,0,0,0,11219.0,11461.0,9100.0,8345.0,7783.0,9200.0,1
90000.0,2,2,2,24,1,0,0,2,0,0.0,1000.0,10000.0,0.0,1000.0,3105.0,0
320000.0,2,2,2,35,0,0,0,0,0,3571.0,311.0,8088.0,5000.0,1600.0,1810.0,0
270000.0,2,2,1,33,0,0,0,0,0,8874.0,3567.0,1556.0,7952.0,4000.0,2000.0,0
240000.0,2,1,1,33,0,0,0,0,0,7830.0,8231.0,8332.0,8187.0,8500.0,8029.0,0
390000.0,2,1,2,32,0,0,0,0,0,7518.0,12006.0,13006.0,4006.0,25011.0,14009.0,0
290000.0,2,1,1,39,1,0,0,0,0,2613.0,11101.0,10000.0,2839.0,4826.0,1352.0,0
180000.0,2,2,1,34,0,0,0,0,0,1526.0,3006.0,5020.0,5000.0,2000.0,935.0,0
50000.0,2,3,1,31,0,0,0,0,0,1914.0,1900.0,1478.0,1172.0,2005.0,1000.0,0
